label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
0		6.576594		16		5		5		1		3		5		7		0.3186670856916245		0.8888888888888888		0.501991,0.9902885000000001,1.0201376999999998,1.0066213,0.9925067999999999,1.0878965,1.3559636999999998,1.4038413999999997,1.5290181,1.4309599999999998,1.5688097,1.8433246,2.0373265000000003,1.8386193,2.0530317000000005,2.1464961,2.1186639,2.0264512,1.9950959000000004,2.2046699000000003,1.9035911000000003,2.1656497000000003,1.995036,2.2215420999999997,2.0958087,2.1327716000000003,2.1918245,2.0234502,1.8188995000000001,2.0916466,2.0974782999999997,2.4173340000000003,2.0854249,2.1628417,2.6359482,2.5498461999999997,2.3362484,2.2997584,2.4255185,2.6402102000000003,2.8648198999999996,2.1357433,2.7416919999999996,2.8457233000000004,2.9557445,2.6412241,2.981391,3.0706659,2.9859817000000004,2.7058116,3.3856446999999994,3.0633901,3.3745707000000005,3.4217161,2.8828262,3.1734537000000005,3.4783111,3.6146568,3.5461660999999998,3.2547783000000003,3.2554061999999995,3.2308139000000002,3.7153578000000005,3.5464519,3.7363993,3.4605594,3.2540541000000003,3.4596072999999996,3.3304229,3.3340549000000004,3.6527125,3.6384392999999995,3.8906683,3.7928568999999994,3.6809494000000003,3.7687979999999994,3.6543335999999997,3.6213142999999994,3.7352198999999997,3.6934763000000004,3.4198926999999997,3.9040683,3.9096256000000005,3.9844739,3.8198532,3.9100831,4.0970244000000005,4.1723148000000005,4.3200857,4.2819875,4.356190700000001,4.3758976,4.5726569,4.3324476,4.238670999999999,4.146923,4.1024676,4.250023199999999,4.5980337,4.3009186
8		6.571522		15		5		5		0		6		4		5		0.21244472379441637		0.9375		0.131199375,0.25076399999999993,0.46984919999999997,0.7821209,1.1342417,1.8799242,2.0879514000000006,2.1454266,2.2257252,2.2635101,2.2896036000000004,2.3723232,2.3854870000000004,2.397183,2.4915776000000003,2.5833813999999995,2.7056090999999998,3.0368389000000002,3.2047079000000003,3.2478259,3.4858379,3.3486646,3.5447677000000004,3.4102632999999996,3.6047132,3.7060217,3.7408177,3.7057552,3.7453939000000007,3.7583529999999996,3.7488811000000006,3.7569603999999996,3.7750548000000004,3.7725973,3.806754,3.7994064,3.7864137999999996,3.8070490999999995,3.8507268000000003,3.9123262000000003,3.8843832,3.9336779,3.8993323,3.9624736999999994,3.9663603000000003,4.0469142,4.1350008,4.084832200000001,4.1718186,4.1377444,4.1795721,4.44276,4.4466836999999995,4.149397899999999,4.2211034000000005,4.3516547,4.2350319999999995,4.36037,4.4667838,4.5720691,4.5675136,4.5184831,4.6696696,4.724157300000001,4.91465,4.872264800000001,4.901585799999999,5.0171556,4.859027500000001,5.0920639,4.875038099999999,4.8282412,4.8465403,5.014886599999999,4.905198700000001,4.8286153999999994,4.9189017,4.852958500000001,4.9817321,4.8559842,4.8308446,4.876617900000001,4.7873096,4.8472144,4.799395800000001,5.0249268,4.944710199999999,4.9324055,5.102282,5.1200102,5.025668499999999,5.0729658,5.009873399999999,5.1148425,5.1823681,5.353657999999999,5.115339700000001,5.1991458999999995,5.2012645,5.0575374
1		6.570122		17		5		5		1		3		6		7		0.3186670856916245		0.8947368421052632		0.54993175,0.7440744,0.7260476,1.0939859999999997,0.9789912999999999,0.9983496000000001,1.1059004000000001,1.3104763,1.1595216,1.1945242,1.312071,1.2260187,1.5342312999999999,1.7373850000000002,1.8208421000000001,1.8146917999999999,1.9769641999999998,1.9778545,2.0559347,1.8840530999999998,1.5272472000000001,1.7396280999999998,2.1274028,2.1803688,2.306919,2.3295171000000003,2.3962378,2.5984907,2.4674502,2.6129121,3.2278364,2.7686549,2.8904805,2.7060492000000003,2.9465281,2.7902972,2.9965236,2.970275,3.3236446,3.1009952999999997,3.2895346000000005,3.5290495,3.0565773,3.3080428,3.3859595,3.3756035000000004,3.4527723999999997,3.4732948,3.6342013,3.6579897000000003,3.585089299999999,3.7092769999999993,3.6103282000000005,3.4873485000000004,3.5501142999999997,3.6471484,3.6081819999999993,3.6843339999999998,3.7609584999999996,3.7280544,3.7069646,3.7049974000000008,3.4890006,3.7874334999999997,3.6636403,3.7185273000000003,3.8618304,3.7727112000000007,3.7624161999999997,3.7584112,3.6471610000000005,3.5201188,3.8407291,3.9621953999999997,3.8744166,3.7746581999999997,3.8608485000000003,3.9708639000000003,3.9998307000000004,4.1196222,3.9043229999999993,3.9242939,3.5971395,3.6443053999999995,3.8731773000000005,3.9072945000000003,3.8018789000000006,4.0602868,3.5440352000000006,4.0275823,3.9411707,3.7336239000000004,3.990293200000001,4.2079258,4.4214013,4.1742668,4.0539094,4.1641772,4.625251,4.352896100000001
2		6.565592		18		5		5		1		7		5		5		0.21244472379441637		1.0		0.8171047499999999,1.0480468000000003,1.1036613000000002,1.2096436000000002,1.1758013999999999,1.257351,1.2968071,1.3025489000000001,1.5180854,1.8171624000000002,2.1242779,1.9629691999999999,2.2878457,2.4135659,2.8658039000000004,3.0451258,3.3299142,3.3439552,3.5873220000000003,3.5034391,3.7321465000000003,3.7712432000000007,3.737704,3.3196387,3.7825917000000002,3.7647992,3.7864064000000006,3.7750875,3.7909704000000004,3.7432241999999993,3.7530166,3.6312320999999996,3.8294273000000003,3.8991313000000005,3.9581377000000004,3.9329180999999998,3.2430014999999996,3.4097976,3.061224,3.382758,3.8452689000000007,3.5840047000000004,3.9782692000000006,3.9924864999999996,3.8024383,4.096539300000001,3.7235275999999997,4.131711699999999,4.1891624,3.9466373999999993,3.8739576999999996,3.5828911,4.0157194,4.0022723,3.9061788999999996,3.8760915,4.344227300000001,3.8952894999999996,4.1234364,4.169302500000001,3.6366869,3.7230686,3.9566167,3.9182653000000003,3.347278,4.225995500000002,4.3514958,4.2115594000000005,4.2837615,4.5569958,4.184606199999999,4.172019499999999,4.2869867,4.535900900000001,4.118862900000001,4.4184316,4.6476097,4.1519151999999995,4.4377303,4.3099664,4.7687363,4.7194861,4.4071035,4.1447688,5.0228824,4.783781100000001,4.834662200000001,4.3543901,4.7133776,4.0728499,4.7996708,5.0119314,5.171908499999999,4.832754700000001,4.6364126,4.378986799999999,4.3699523,4.6546608,4.5301314,4.8278381
3		6.56557		19		5		5		6		5		4		4		0.3186670856916245		0.95		1.288413,1.4576562,1.8066808,1.6625785,1.9480967,1.9991171,2.1156808,2.0809339,2.1804345999999994,2.1968018999999996,2.2279573000000004,2.2105993,2.2105784,2.2316746,2.273821,2.3971257,2.5096733,2.3175120000000002,2.4384538,2.47429,2.5512755,2.7857345,2.7341729999999997,2.853727,2.9477857,3.2652869000000004,2.9281512,3.4274727,3.3864302000000004,3.2915663000000004,3.2864394,3.5554891,3.5349309,3.5232384000000003,3.3395104000000004,3.4788499,3.4056021000000003,3.4735272000000004,3.5548055999999995,3.5300281,3.5967819,3.6602781999999996,3.5682578,3.5806141000000005,3.6413176,3.6163340999999996,3.6577624,3.6381226000000004,3.6085290000000008,3.6830143,3.6899575,3.6906941000000004,3.6481969999999997,3.6729042,3.6668486000000002,3.7279015,3.7214306,3.7720615000000004,3.6950195999999997,3.689036099999999,3.6941395,3.740847399999999,3.7300897999999996,3.6786778000000004,3.6953171000000005,3.7332811,3.7227170000000003,3.7845313000000003,3.7632531,3.7723658,3.6503639,3.7568957999999997,3.7476891,3.6807217000000003,3.7721927,3.7859749000000003,3.8913762999999997,3.8468778,3.7744036000000003,3.8110755999999997,3.8777684,3.8835395,3.9152215,3.8473947,3.8099987,3.7875503000000004,3.846977,3.8469563,3.8341486000000002,3.8606095,3.797661,3.8248385,3.8707525000000005,3.8238433,3.8275016,3.9371168000000005,3.715556399999999,3.8551987,3.8650662000000002,3.8561475
11		6.564139		19		5		5		1		7		5		6		0.21244472379441637		1.0		0.9662957499999999,0.7210877,0.9010525999999999,1.1186904,1.2528931,1.2644426000000002,1.3814107999999998,1.4048379,1.4944947000000002,1.6313386,1.9911929000000002,2.2208259,2.2362558,2.0527892,2.0751824,2.3163546,2.3854829000000004,2.3668758999999997,2.4906731,2.5142767,2.1707917,1.5454105000000002,3.3316700000000004,3.5075888999999996,3.7371344,3.5014019,3.0252074999999996,3.4305209,3.1757192000000005,3.4665239999999997,3.6379027,3.5792187000000006,3.8558356,2.8656935999999997,3.4878768,3.4728614999999996,2.2729630999999997,3.05225,4.1886401,3.2642141000000002,2.1201282000000004,2.3503456,2.9565621,2.2523917,4.398703500000001,2.4998116,3.4861182,3.7546177,3.9837379000000004,3.7067644,4.1517238,4.0036924,4.0977821,3.5761493,4.096811799999999,3.8115395000000007,3.4697989999999996,3.5854336000000004,3.3653101,4.011113999999999,4.5837975,3.0361646,2.8803079000000005,4.1243359,3.1629186999999996,3.9045884,4.7792739,4.8629112,4.3325149000000005,4.845258100000001,4.1087619,4.437894099999999,4.7309746,4.3656485,4.6868535,4.560871700000001,4.8136138,4.520083,4.9590776,3.9631,3.8225079,3.6065397,3.7412912000000005,3.551695,4.7872954,4.3108663,4.344904399999999,3.8647186999999996,2.762769,2.2934927000000003,4.266947500000001,3.1953116,3.2361428000000005,3.8138584,4.1012476,3.0067448,4.220947000000001,2.6925856,3.1865783999999997,2.7517932000000003
4		6.563036		15		5		5		6		3		3		3		0.23769303989901736		0.8823529411764706		2.077419375,2.0711581000000003,2.170094,2.3049254,2.5109406,2.5955881999999995,2.9759596,3.2616490999999996,3.1874914,3.4010811,3.5098895,3.5269663,3.5641829,3.4904791000000004,3.5840229999999997,3.6803156,3.6761839000000003,3.7697286000000005,3.6871032999999995,3.6751504000000006,3.6177506,3.7734262000000003,3.7838083999999994,3.7990443,3.777349,3.8641684999999995,3.8479096999999998,3.9110025,3.9512940999999997,3.8929685999999997,3.9184056,3.867057,3.9425025000000007,3.9286546,4.0596893,4.0460026,3.9433879000000003,4.1311509,4.122354,4.0145274,4.0599297,4.2263822,4.1175567,4.2420954,4.1619943,4.2371809,4.1754603,4.198312400000001,4.2635151,4.3884279,4.379084300000001,4.408824600000001,4.354327199999999,4.5090209,4.3992023,4.369675599999999,4.3938735,4.381448799999999,4.4649836,4.479610200000001,4.5142238,4.530838300000001,4.2860921,4.4952904,4.485492900000001,4.4484007,4.490476599999999,4.5755903,4.4429996,4.663801099999999,4.3764733,4.667145500000001,4.310899000000001,4.5525439,4.867513499999999,4.619445499999999,5.0093688,4.7444259,4.8571424,4.903045199999999,4.6687749,4.6586722,4.9525512,5.092972099999999,4.9466717000000004,4.883628099999999,4.9114664,4.9569604,4.638917999999999,5.0908709000000005,4.7909327,4.728730400000001,4.7845297,4.6018215,4.6526889,4.5496935999999994,4.6860049,4.697335300000001,4.8294437,4.882016200000001
22		6.562311		16		5		5		0		4		6		6		0.3186670856916245		0.8888888888888888		0.998871875,0.44801599999999997,0.9630162999999999,0.6090676,1.1131591,1.156353,1.1560874,1.3102879,1.3026696,1.4095796,1.4621941,1.2983759,1.6875615,1.6660939,2.0598147,1.9145647000000001,1.9391547000000002,2.0620974999999997,2.112293,2.0190287,2.1471461,2.2020259,2.2764138999999997,2.5316631999999997,2.3758671,2.630001,2.8888518999999997,2.9519927,3.1189617,3.3043856,3.2535747,3.1656358,3.3665751,3.4367229000000004,3.4821861,3.6299003999999995,3.6508536,3.6338046,3.6823532,3.4871387999999994,3.559241,3.6690148999999996,3.5823396,3.6059004999999997,3.6830804,3.6559494,3.6599871,3.6282557999999994,3.6788598,3.7057651,3.681478,3.6838575,3.8320669,3.9013505000000004,3.7802493999999998,3.9532491,3.9522579,3.8551789999999997,3.9663853,4.0127597999999995,3.6747556,3.7495083,3.8155761,3.8054683000000002,3.7484625,3.7411621999999993,3.7177459999999996,4.0001821,3.8776325999999997,3.9065163000000007,3.8422726,3.9978933,3.6659329,3.8212012,3.7438179000000007,3.8737671999999996,3.8465450000000003,3.7452036,3.6656222,3.7865480999999996,3.8889436,3.8394255,3.8150729999999995,3.7588706000000003,3.8500854999999996,3.7500378000000003,3.9086498,3.96948,3.7538006999999993,3.7347667,3.7545953999999995,3.7052721999999996,3.4834631000000003,3.7986579,3.5912755000000005,3.4237645999999997,3.5864979,3.8176001999999998,3.5990136,3.800854
5		6.558061		15		5		5		1		3		6		5		0.23769303989901736		0.9375		0.73857025,0.5836083999999999,1.0382457999999999,1.0444164,1.1224215,1.1193085,1.2142385,1.2761012,1.2529324,1.3932541,1.5534705,1.4917521,1.6532323999999998,1.7480654000000002,1.7714656000000002,1.8872493000000001,1.9927548000000002,1.9912226999999998,2.0960267999999997,2.0570313,2.1377691,2.0667747000000003,2.1545447999999996,2.2094073999999995,2.2469978,2.2491958000000003,2.2909989000000004,2.3152082999999997,2.3592003000000004,2.3911124,2.432827,2.5642239000000004,2.6017889,2.8075649,2.8188231,2.7862147000000004,2.9965894000000004,3.2684716000000003,3.329909,3.4299402,3.3970914999999997,3.3562319,3.4256683000000003,3.5295943999999997,3.4195620999999994,3.4909438,3.5651473999999994,3.6391228,3.5962511,3.6023993999999995,3.5158563000000003,3.6023211,3.6771181,3.6298328999999994,3.6648989,3.6703188999999994,3.6892006000000004,3.6895396999999996,3.5992059000000003,3.701457499999999,3.67044,3.6873937,3.7048692,3.7590988000000003,3.6834871,3.6992399,3.7273232,3.7234024000000003,3.7688361,3.7820584999999993,3.7680597000000007,3.7541517,3.6813352999999998,3.7507548999999996,3.7579868000000003,3.7779252,3.6946124999999994,3.7102503,3.656462,3.7433094,3.7353894000000003,3.7504846,3.7492171,3.7801696,3.8162496,3.7887842999999997,3.7928261000000005,3.8367838,3.8089402999999997,3.8794078999999995,3.9307784000000003,4.0262811,3.9661218999999996,3.9901033000000004,3.9593459,4.069128999999999,4.0318288,3.9450683999999994,4.0621705,3.9290203
6		6.557432		17		5		5		5		4		4		4		0.23769303989901736		0.9444444444444444		1.266965625,1.5181831,1.5703976,1.9364753999999997,2.0554692,1.996416,2.1143143,2.2771522,2.2200288,2.3225606,2.2980446,2.3943635,2.5264664,2.6016054000000004,2.7689028,2.6668183,2.7906687,2.7559802,2.9196747,3.2210521,2.9018112,2.993542,2.9830662,3.3410649999999995,3.3842081999999998,3.4794959,3.2975509,3.4571179,3.4199662,3.5488583999999994,3.6234105,3.4894024000000003,3.4192273,3.3980246000000003,3.3963203,3.2760912999999996,3.3640336,3.2675630999999994,3.4552098,3.4978532,3.393770000000001,3.3721170000000003,3.5591639,3.6410327000000002,3.8164054,3.8629517,3.783219699999999,3.7169283999999996,3.6627195000000006,3.6939077000000005,3.8690135000000003,3.7756996000000003,3.9482937,3.790964199999999,3.8913566000000004,3.7984572000000005,3.7904896999999997,3.8507871000000002,3.7444949999999997,3.7408412999999996,3.8697322,3.9773781999999995,4.043051,3.9508702999999996,3.8704881999999996,3.8565097,3.8989908,3.9697206,4.067856600000001,4.0401182,3.7726366,4.0464883,4.0897957,3.8618837,3.9954831,3.9508462,4.3316941,4.24225,4.0977079000000005,4.080010499999999,4.0092588000000005,4.5091513,4.165242000000001,3.8238577000000005,3.8419312,3.9416479000000004,4.099613,4.008841599999999,3.9829467999999997,4.0772389,3.8128387999999993,3.7527446999999996,3.9531429000000005,3.8400030000000003,3.6816538000000003,3.9362608999999997,3.9226078,3.9533792999999995,3.891278,3.8613653999999995
