label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
16		3.819097		11		3		5		1		1		7		2		0.4		0.9166666666666666		-0.06914899999999999,-0.10437689999999997,0.5970766000000001,1.4989714,1.8640558999999997,1.9333728000000001,1.9484149,2.0598413,1.9210462000000004,2.3229798,2.7607289,2.8203043,2.0119811,2.7095398,2.8468639000000002,2.3599831,1.9755098999999998,2.0073279,2.3766261,2.3013687999999997,2.3532729,2.204899,1.7170200000000002,1.8621595,1.8603129000000003,1.5774917,2.0250937999999996,1.8272456000000001,0.8810836999999999,1.1219879,1.9416379000000004,2.4208135000000004,2.3293419,2.2785912,2.1940292,1.7744153,2.0809837,2.1606055,2.4671429,2.4939993,2.6051971000000003,2.6835300999999996,2.5105253999999997,2.5321348,2.7204071,2.6772408,2.3184575,1.9497501999999998,1.9726317000000002,2.0127156,2.0238656,2.0405884,2.0382457,2.6138559,2.0858453000000003,2.2013171000000002,2.5672221,1.9693728,1.8036494,1.9507598000000002,1.6629261,1.7667171,2.1640176999999996,2.4210327,2.1385575,1.7705477000000003,1.9017832000000001,1.6829912,1.1423534,1.6305838000000001,1.6619192999999999,1.8125562,1.8877841,2.0541323,1.8672957999999997,1.5361882,1.3694971000000002,2.5271624000000004,2.4175606000000003,1.9441131000000003,1.8464848,1.414812,1.4889202000000001,1.3265793,1.5480782999999998,1.8333774000000003,1.8557679,2.2490217,2.3605650000000002,2.0706625,1.6259668,1.1639197,1.4096688,1.4354605,1.4076038999999998,1.9087596999999998,2.1805702,2.1596412999999997,2.0726621,2.7225983,3.819097
5		3.336639		7		2		5		0		0		2		5		0.6		1.0		-2.5263107500000004,-2.7415202499999998,-2.6956313000000005,-2.2915921,-2.2396325,-2.045985,-1.8065722999999998,-1.5869863999999998,-1.5130763999999997,-1.4316710000000001,-1.0357636,-0.5612878,-0.38626530000000003,-0.1542285,0.2668265,0.6099635,1.0013836,1.7606788000000002,2.042694,2.3067419,2.8631427,3.0962373,3.1774567,3.1909764000000003,3.0687459,2.9718523,2.6215757,2.6168719,2.9313847,2.8776020000000004,2.7171881000000004,2.3380809,2.3386863,1.9788245000000004,2.2326154000000002,2.2780492,2.2868142,2.1041244,1.9619287,2.2630224,2.1684868000000006,2.2099913,2.1875247,2.1486118,2.0891308,1.9883258000000001,2.1403483999999997,2.1168287999999995,2.1181956,2.0497946000000002,1.9733681,1.9130069000000003,2.0097349,1.8912548,1.9552348000000002,1.9866163000000001,1.9269698000000002,1.9293656000000001,1.846008,1.8700459000000003,2.1168346999999996,2.0963222,1.9850628999999997,1.6569174,1.9974002,2.0212627999999997,1.9251133999999996,1.8205668,1.855885,1.8352388999999998,2.1139611,2.1519468,2.0190617,1.8819366,1.9730404,2.0344349,2.0751431,1.8640062,1.7460569,1.7406010000000003,1.7869017,1.8401629,1.9027318000000002,2.0107049,1.8904451000000002,2.2701379999999998,2.2106199999999996,2.1592324,2.1715756,2.1530025,2.2488658999999998,2.3892616999999996,2.1385397,2.1250474,2.4835843000000004,2.4341944,2.41426,2.463805,2.3939767,2.1683388,3.336639
0		3.312988		9		2		5		1		0		0		8		0.6		1.0		-0.003986249999999969,0.19074287500000003,0.3731511,0.5577058999999999,0.7234005,0.8945424,1.1467983,1.2785259999999998,1.3464187,1.6439131,1.8261273000000002,2.0030584,2.1196665,2.1746384,2.1549810000000003,1.8240098999999996,2.0006704999999996,2.7158741999999996,2.7939705,2.919885,3.1373739,3.0905142,2.9231445000000003,3.0118499,3.1539416000000005,3.1018318000000002,2.9703925,3.0012336,3.0246147,3.0327516999999995,3.0443483000000002,2.9420455,3.0290698,2.9701227,3.0559269,2.9878022,2.9285179999999995,2.9211478,2.7246905000000003,2.7592314,2.7711516000000005,2.763611,2.7767654,2.7493767999999994,2.5606557999999997,2.4628243999999997,2.5519489,2.2795316,2.3062925000000005,2.6656608999999998,2.7723847000000004,2.7885889999999995,2.5895783999999997,2.3198453999999997,2.4813081,2.5694747999999996,2.4292501,2.4564676000000003,2.4392067,2.6136293,2.6729714,2.5352345,2.2453855,2.1306104,2.0432357000000003,2.0854469,2.2279429,2.2342630999999997,2.1262163000000003,2.1429139999999998,2.1787549,2.1670011,2.2771254,2.3553325000000003,2.3152512,2.2129571,2.0521515999999997,2.1322538999999994,2.1973616,2.0713189,1.9289732999999998,2.0209961,1.9217574,2.0022744,2.1092824000000006,2.0731602,2.0101701000000003,1.9477718,1.8942537000000002,1.9131277999999998,1.942326,2.2613518,2.538158,2.3718338,2.2188456,2.1484619,1.9426173999999996,1.8499227,1.8737271000000004,1.8644380000000003,3.312988
21		3.265626		15		3		5		0		5		10		0		0.4		1.0		0.97471625,1.2137543750000002,1.5366081999999999,2.5468636000000004,2.9713597,3.1833147000000004,2.9149285000000003,2.8842149,2.5903332,2.3560466,2.1936103,1.9819943000000002,2.0360663,2.2897894,1.7885203,1.8017743,1.8453847999999997,1.3154936,1.8680709,1.8981929000000002,1.6373404999999999,1.8160841,1.8850273999999998,2.0157336999999997,2.4990227000000003,2.6325247000000003,2.6474673,2.4945649,2.5107121999999995,2.5869077,2.4211504,2.0811396,2.4515039999999995,2.5822990999999997,2.554255,2.2346327999999995,2.2350923000000003,2.3592024,2.4272643,2.3640132,2.4797951999999994,2.5610331000000004,2.4724147000000003,2.4896545999999997,2.3597677,2.1342294,2.327126,2.2534679,2.118327,2.1796774,2.1902282,1.9040492,1.6880856999999998,1.8989615999999998,1.9693478000000002,2.2041228,2.3501564,2.3375340000000002,2.2454023999999997,2.0328342,2.5394615000000003,2.5382751000000003,2.3959146,2.3932700999999996,2.3139493,2.5312885,2.5953744,2.6395828000000003,2.5013587,2.5876925,2.5401217,2.6300453,2.7000266,2.6344813,2.7416603999999998,2.7535243,2.8206738000000002,2.6675988000000004,2.4114388,2.4511756,2.4619565999999997,2.4400074,2.5956239,2.4491239000000005,2.4614868999999997,2.042941,2.009849,2.0703465000000003,2.4368269,2.2834636,1.9553596,2.2540912,2.8784605,2.8406173,2.6912445,2.4293285,2.7643166999999997,2.4040288999999997,2.4914332999999997,2.7219495,3.265626
4		3.169061		8		3		5		0		0		3		5		0.4		1.0		-5.19906475,-5.35959175,-5.204419700000001,-4.5700631,-4.0040562,-3.4151814000000003,-1.8828899999999997,-1.1476776000000002,-0.2487193,0.2675252,1.6937849999999997,1.8741856,2.0475426000000003,2.5308184999999996,2.3073223,2.2914958,2.3181491999999997,2.5368921,2.5369666,2.5850316,2.6147527999999998,2.5867929999999992,2.6059566999999992,2.6209705999999997,2.6087965,2.6032037,2.5669535999999997,2.5928233,2.6237772999999995,2.65399,2.6236027,2.6199494999999997,2.6405824,2.6183414,2.6720885999999995,2.6637812999999997,2.6285696,2.6130337,2.6759062,2.6913477,2.6519118,2.6377414999999997,2.6938831000000003,2.6904485,2.6938102,2.6856402,2.6662241,2.7065638,2.8437151999999997,2.9479450999999997,3.0882304,3.0508542,2.9773421,3.0033075000000005,3.0557542,3.0311548,2.8785941,2.9221371,2.9520738,3.001876,3.0497064,2.9646717999999996,2.9237356999999995,3.0090148,3.081424,2.9926312000000004,2.9627521999999997,3.0248283999999996,2.9051815999999997,2.8601707000000003,2.8992275,2.9734576,2.9491079,3.0555212999999997,2.9124844999999997,2.7912084999999998,2.7900177,2.7119220000000004,2.8855125,2.8994653,2.7381634999999998,2.8589685,3.0299065,3.0412312,3.0524420999999995,3.0201304999999996,2.9301033,2.9827776999999998,2.9367583,2.9785290000000004,3.0220593000000004,3.1379541,3.1237788,3.0731949,3.0004490000000006,2.9228641000000004,2.9141887000000004,2.9891913000000003,2.7929025000000003,2.6536487,3.169061
15		2.88064		6		4		3		3		0		3		0		0.31180751631538317		1.0		-0.8688914999999999,-0.8576317499999999,-0.7263029,-0.4036619999999999,-0.3199243,-0.2489069,-0.06630309999999999,0.06079939999999999,0.11829729999999998,0.12074899999999997,0.17537439999999999,0.317095,0.6063852,1.2708042000000002,1.6044978999999997,1.8666083,2.0494556,2.208642,2.2472348999999996,2.3875669,2.5151333,2.5122446,2.5244184,2.5644931,2.5556573,2.5508185,2.6102541,2.6574535000000004,2.6682097,2.6555980999999997,2.67464,2.6656448999999998,2.6491113000000004,2.6741962,2.6923357999999995,2.6962589,2.6870137,2.6965721,2.7069727,2.6921991999999997,2.7014838000000005,2.7125135,2.7075513999999994,2.7103789,2.7169679,2.7140109,2.7134681,2.7069975000000004,2.7083817,2.7109369,2.7142181,2.7108571,2.7183703000000006,2.7186411,2.7298816,2.7351822,2.7549982999999996,2.7477917,2.7290031,2.757898,2.7403993000000004,2.7317048,2.7461650000000004,2.7576006,2.7512542,2.7625629,2.7800085999999995,2.7784401999999995,2.7696320000000005,2.7645284,2.7646021000000003,2.7641783,2.7773582000000006,2.7870639,2.7884069000000005,2.7958424000000006,2.5348569000000003,2.5398313999999997,2.7805012,2.7845199000000003,2.7814497,2.7526029000000003,2.7624082999999997,2.7696013,2.7873291,2.781084,2.7852675999999996,2.7966965999999998,2.7775489,2.7774945000000004,2.8000709,2.8084030999999996,2.8167479999999996,2.8212016,2.8261022999999996,2.8247771,2.8059142,2.8086262000000004,2.8274215,2.8124073,2.88064
8		2.768445		3		2		2		0		2		0		1		0.2928932188134524		1.0		1.1249095,1.368513125,1.274361,1.4870361,1.8185951,1.9202389999999998,1.9158284,1.6074168,1.8731065999999998,1.9122996,2.2749807,2.1912328999999997,2.1727451,2.2219001,2.2890366,2.2165692,1.9127460999999997,1.520514,1.4302015,1.5150687,1.7879367000000002,1.8391723,1.7449079,1.6554740000000003,1.8479451,1.7269296,1.6194948,1.4350446000000001,1.6766786999999996,1.9076695000000001,1.5176385,1.7578515,1.834591,1.7881878999999998,1.6429166000000002,1.8178451000000002,1.9241574,1.6236220999999997,0.9752219999999999,1.3587264,1.2580987000000001,1.5907565000000001,1.7364698000000005,1.5839746,1.4964299999999997,1.9080299999999997,1.8565205999999996,1.2753771,1.3831605000000002,1.9006163,1.6026077,1.6980401,1.7697282,1.9754961000000002,2.0871614,2.1776840999999996,2.2031804999999998,2.3579372,2.3118058,2.2032073,2.2430645,2.3039552999999997,2.3583983,2.3779358999999998,2.3637796,2.2604724000000003,2.2217434000000003,2.1703023,2.0183174,2.0807665,2.1641214,2.2681708,2.2744304000000004,2.2522434999999996,2.1674005999999997,2.2008780000000003,2.166026,2.1427829,2.2335961,2.2304582,2.3170155,2.0673943,1.9303522000000004,1.7903965,1.8225139,1.8721813,1.6676023,2.0524884,2.3016249,2.3771247000000004,2.3457244999999998,2.3958893,2.3990678,2.4320344,2.4383515000000004,2.4178066,2.4491400999999997,2.4967006,2.5260419,2.4802106000000004,2.768445
7		2.741662		15		4		5		0		0		0		15		0.23769303989901736		1.0		-0.79407275,-0.68241575,-0.6280455,-0.23792910000000003,0.09293320000000002,0.7327334000000001,1.3623904,1.4401012,1.6512021000000001,1.8500064000000003,2.2631722,2.3810055,2.4095995,2.418959,2.3930259,2.3545778000000004,2.3606788,2.3985015000000005,2.4060185000000005,2.3999852000000006,2.4317517,2.4301531999999995,2.4305355000000004,2.4188842,2.3721007000000003,2.3389660999999995,2.3919335,2.3961958,2.3748734000000002,2.4012568,2.4352528,2.4409240000000003,2.4305436,2.4376882,2.4366956,2.4393546000000006,2.423946,2.4326480999999998,2.4557716,2.4589229,2.4552865000000006,2.4613554,2.5256175,2.5352673,2.5481686999999997,2.5743408,2.6024327000000005,2.6207147,2.6385399,2.6359792,2.6331914000000003,2.6356106,2.6407691,2.6428194,2.6480122,2.6509361999999994,2.6197483999999998,2.6281866,2.6184956,2.628329,2.6546837,2.6564473000000004,2.6554955,2.6567472000000003,2.6655475,2.6618961999999997,2.6647048,2.6734511,2.6778762,2.6777257000000003,2.6694777000000003,2.6735708,2.6765449,2.6748956,2.6537783,2.6610785,2.6889657999999996,2.6955400999999997,2.6842494,2.6886967000000004,2.6855471,2.6883239000000003,2.6879299000000003,2.6901229,2.6977455,2.7045021,2.7004103,2.7009162000000004,2.7171855999999996,2.7187421,2.7193135,2.727029,2.7232627,2.7265640000000007,2.7326102999999997,2.7279408,2.7324953,2.7337344000000003,2.7311132000000002,2.737931,2.741662
9		2.685149		10		5		3		3		2		0		5		0.4		1.0		-0.6725555,-0.520775375,-0.37886190000000003,-0.20713330000000002,-0.2043241,-0.1862799,-0.17358690000000002,-0.17557289999999998,-0.17462109999999997,-0.17795480000000002,-0.17356310000000003,-0.1740474,-0.1715338,-0.16251259999999998,-0.1649201,-0.16660019999999998,-0.1648808,-0.1688955,-0.009703599999999979,0.3192847,1.2854862,1.7518264000000001,2.1519853,2.4910154999999996,2.5901179999999995,2.5584625,2.5581197,2.5137245000000004,2.5179511000000003,2.3841808,2.4416556,2.5717185000000002,2.5446905,2.5487821000000004,2.5236763,2.5323217999999996,2.5601589000000002,2.5294638,2.5167196,2.5534269000000003,2.4738927,2.4879048,2.5578125,2.5754694999999996,2.613643,2.6432151,2.4678706,2.4537572,2.6211993,2.5869808,2.543732,2.3408783,2.327485,2.3239091999999997,2.4637620999999994,2.4218781999999996,2.3167454,2.3395121000000003,2.3619003,2.4601705,2.1424251999999995,2.3168949000000003,2.585387,2.5740716,2.5925702,2.5737142,2.5759789,2.558531,2.5746275,2.5794045999999997,2.6131354,2.6305139,2.6398457,2.6485159,2.5768960000000005,2.5891015,2.5781438999999997,2.571456,2.5504046,2.5282093,2.5522466,2.5952162000000003,2.581444,2.5661509000000002,2.5904672,2.6135498999999998,2.6041849999999998,2.5989564000000005,2.5187469,2.6185372,2.5139944,2.5177676,2.3520683,2.3175423000000004,2.3120598,2.6152839,2.6132110000000006,2.6067004000000003,2.4051264,2.1780867,2.685149
17		2.545041		15		5		3		0		0		7		8		0.4		1.0		-1.27598175,-0.8378012222222222,-0.3429769,-0.1568671,-0.16352219999999998,-0.8593654000000001,-0.8638248999999998,-0.1515406,-0.09407900000000001,0.07013399999999997,0.36127360000000003,-0.17877519999999997,-0.7137933000000001,-0.15171459999999998,0.08897890000000004,0.139244,0.3881966,0.42515980000000003,0.5969046,1.0450451,1.3904473,1.7325275000000002,1.9134315000000002,2.1939187999999996,2.030335,1.9052813,2.2689201,2.2808728,2.4658642,2.0911780999999996,2.0929894,2.4131484000000003,2.3940828,2.4533888,2.4047706,2.4183736000000002,2.4009934,2.357653,2.3847491,2.4410471,2.4612916,2.430242,2.400086,2.4075181,2.4312884,2.4252827,2.4321389,2.3783775,2.3351444,2.4297048000000006,2.3712150000000003,2.3503573,2.4480128999999997,2.4705903,2.5051107,2.3607416,2.4883558,2.5029325,2.525759,2.528188,2.4193675,2.419136,2.3181339999999997,2.2728151999999997,2.2777746000000003,2.5258922000000004,2.5325211,2.5212882,2.5148129999999997,2.5236509999999996,2.5161006,2.5175676,2.5138004,2.5038999000000004,2.5131324,2.5138351,2.5187462,2.3816260999999996,2.3920524,2.5248775000000006,2.2846824999999997,2.2882906000000003,2.5288721999999995,2.4765714,1.9883637,2.0422000000000002,2.3506646,2.3435401,2.444021,2.4442154,2.5263318000000003,2.5317058,2.5292418999999997,2.5297285,2.4243413000000005,2.3709579999999995,2.4703908999999995,2.5227771,2.5215132,2.5208682,2.545041
