label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
20		6.564094		25		5		5		0		0		10		15		0.0		1.0		-0.509468875,-0.19423300000000004,-0.1510707,-0.0195131,0.030382400000000004,0.17358679999999999,0.32305819999999996,0.31731300000000007,0.5445524,0.6754805,0.8694785000000002,0.7437755000000001,0.8995227,1.0495251,1.0367991,1.0812632,1.0910845000000002,1.1320142,1.164714,1.146176,1.1145349999999998,1.1861701999999998,1.2796676999999999,1.4567971,1.3357236000000001,1.4893808,1.7129131999999998,1.8459059,1.8680241,2.1435651,2.1622274,2.2366931999999995,2.2471682,2.1741649,2.2331825000000003,2.2237147,2.2428517,2.5750067999999997,2.7886914000000003,2.7043373,2.6729646,2.782565,3.1479579,2.9823061999999996,3.0666955000000002,3.5243987,3.1535148,3.584495199999999,3.6619263,3.5487355000000003,3.5230722,3.2703314000000008,3.5621257,3.7410256999999993,3.704363,3.6912263000000003,3.6805597,3.6938451999999997,3.5580632000000003,3.5051161,3.5751689,3.6705606000000004,3.6984161999999996,3.6586408999999995,3.6940011,3.5947343000000003,3.7006159999999992,3.7166004,3.7185434,3.7124394,3.7226890999999993,3.7064927999999995,3.7236051000000003,3.7056220000000004,3.6860111000000004,3.6913717,3.7601357,3.7377487,3.7104032999999994,3.6823749,3.7345604999999997,3.7331645,3.7147309,3.685861,3.7173053000000005,3.6528612000000003,3.7480064,3.7322349999999993,3.7166658,3.713926,3.7490792999999996,3.7546424000000003,3.7573674999999995,3.7717075,3.7566738,3.7749727999999996,3.770048,3.9208714999999996,3.7525722999999997,3.7773457,6.564094
7		6.563694		25		5		5		0		0		11		14		0.0		1.0		-0.098111625,-0.12690990000000002,-0.1543766,0.09052940000000001,0.13799699999999998,0.10228820000000001,0.5462822,0.7533540000000001,0.8125292999999999,0.8021176999999999,1.0537503000000001,1.020585,1.1210481000000003,1.1002143,1.0590471999999997,1.1534784,1.1672306000000001,1.1243132,1.1421154999999998,1.1693205,1.158752,1.1552509,1.3579544000000001,1.2452085,1.3469428999999997,1.3207324000000003,1.4148821999999999,1.6521937999999998,1.7225235,1.6041467,1.8873931,2.1191818000000002,2.1569686999999997,2.1680235,2.0558339,2.1386601,2.1325597,2.147287,2.1302703000000003,2.0511556000000004,2.1135887999999996,2.1640094,2.0143233,2.1394444999999997,2.1189806000000004,2.1434673999999996,2.1070912999999996,2.1543309,2.0441428,2.1435608999999998,2.1244808,2.1462905,2.1267035,2.1646498000000003,2.1618629,2.4161810000000004,2.3534298999999996,2.1563268,2.454661,2.4602124000000005,2.6670171,2.8742388,3.1521725,3.033499,2.9159073,3.3069264000000005,2.9334434000000003,3.045298,3.3569275,3.6612520999999996,3.5852342,3.6715969999999998,3.6862306000000005,3.477912,3.2707965999999997,3.4556648,3.1553871,3.1163313,3.644950299999999,3.6357723999999996,3.3029407999999996,3.1512643999999996,3.2631363,3.2817346,3.3538916999999997,3.4765365000000004,3.6189263000000005,3.4080776999999998,3.4539266,3.2099236000000007,2.7707491,3.31149,3.6601589,3.3999126000000004,3.4161003,2.9563346,3.3114878000000005,3.315802,3.5594239,3.6724989,6.563694
12		4.429239		23		5		5		0		0		9		14		0.0		0.92		0.057204250000000005,0.1317746,0.2151941,0.3926144,0.38352949999999997,0.4632429,0.7157625999999999,0.4998577,0.6035859,0.3698054,0.8589331999999998,1.0080977,0.8570131,0.8128468,1.0461782,1.1539726,0.9494543999999999,0.8528043999999999,1.1066363000000001,0.9487707000000001,1.0873442,1.2304432,0.9129249000000002,0.8902100000000001,1.4517224,1.1334804,1.4516004,1.7721871,1.9532807999999995,1.2634533,1.8098468999999997,1.6928831,2.0429340999999996,1.038574,1.6015080000000002,1.8504953,1.8253093,1.8207359,1.4604335,1.7696771999999998,1.97091,1.9537656,2.1746597999999997,2.1869166,1.9515533000000005,2.1901936,2.1837236,1.8683526000000001,2.2513663999999998,2.1444881,2.1683617,2.007721,2.3297024,2.3415809000000003,2.6734081,2.6182290999999998,2.1563609,2.2500045999999996,2.4743673,2.8217971000000004,2.3893473999999997,2.392117,2.7726427,2.5724378999999997,3.0684639999999996,3.1046915,2.9679757,2.7806743999999997,2.4000791,3.1343077,2.7317397,2.9257272999999997,3.5992837999999994,3.2978234,3.0008840999999995,2.909434,2.5967735999999997,3.0582032999999997,3.3976438,3.7773123999999996,3.6241109000000002,2.8441747,2.9764062000000004,3.6432069,3.1209604,3.4684263,3.4064465,3.1957488,3.76235,3.5858445999999993,3.8345219999999998,3.2245660000000003,3.3537706999999997,3.5718133,3.2747406,3.6717428000000005,3.7631615000000003,3.6091936000000002,3.079351,3.078313,4.429239
2		4.237947		13		5		3		0		0		10		3		0.4		1.0		-0.069437625,-0.0560261,-0.028678299999999997,-0.0073923,0.025060199999999998,0.06308369999999999,-0.031992099999999996,0.2682253,0.3826144,0.8047397000000001,0.8208430999999999,1.0681044,1.1361510000000001,1.2499224999999998,1.2595803,1.259958,1.2700941000000001,1.3379381,1.2952534,1.304897,1.3741486,1.5107897000000001,1.5676439,1.6355975,2.0399266999999996,2.1250994,2.1571225000000003,2.0025595000000003,2.1326878000000002,2.3014595,2.3270307,2.0939566,2.2138181,2.3244761999999994,2.3651786,2.2969099,2.3281371,2.3458676,2.2935501,2.3567127,2.2784880000000003,2.324445,2.3137763,2.3265448999999996,2.3384231,2.3787658000000005,2.5240076,2.7522877,2.6353491,2.8264292,2.6130705,2.6586379,2.8999254999999993,2.8868437,2.7237880999999997,2.6073189999999995,2.7413830999999997,2.7955467999999994,3.2816338000000003,3.1057683,3.6672184999999997,3.6373487999999994,3.4659430999999996,3.6769619999999996,3.5118397999999997,3.4849607999999996,3.5413106,3.3751263000000002,3.6446381000000003,3.5084175,3.6193554999999997,3.3594720000000002,3.160201,3.5234856999999997,3.3944971,3.5575681,3.3831523,3.2360127,3.1752323000000002,3.3643294,3.5459427,3.710508,3.3298324999999998,3.7488887000000006,3.4978022,3.7671617000000004,3.6915711,3.4159265000000003,3.8027367000000005,3.7329108000000004,3.7524152,3.4574013999999997,3.7358797000000004,3.6195564999999994,3.6122260000000006,3.5356803,3.5345433,3.6057307,3.7460299,3.767566,4.237947
3		3.84196		15		5		3		0		0		1		14		0.4		1.0		0.07159737499999999,-0.7692905,-0.5939186000000001,0.5449937,0.8259367999999998,0.8733742,0.9318587,0.32966759999999995,0.9454806999999998,0.4534218,0.3429327,0.8390818,0.8418764,0.5915887000000001,0.4977673,0.6449633,0.8786349,0.6378843999999999,1.0683481,0.9673028999999997,1.0913667999999999,1.0571175,0.9510255000000001,1.0467842,1.0668006,1.1243556000000001,1.1169534,1.0881414,0.8767507,0.994616,1.0784081,0.9141099,0.9890385,1.2640825,1.2569017000000002,1.2973862999999999,1.3642142,0.9035014,1.4366506,1.4397667999999997,1.5673708999999998,1.8275603,1.4460313,1.7845161999999999,1.8949243,1.7498145,2.0839972,2.1698162000000005,2.1613475,2.0155639,1.7019172999999999,1.8211822999999998,2.2954053,2.3196175,2.3517599000000002,2.3853076,2.4029973,2.4214074,2.4780767999999993,2.421115,2.4795235,2.4553224,2.4571441,2.5313097,2.6901278,2.6131393999999997,2.5610136,2.6108484,2.6784995,2.6737007,2.7737366999999997,2.6859962,2.8027085,2.9340958,2.8136064000000003,2.8452817,2.8215893000000003,2.2492842000000004,2.9329963,2.9879659999999997,2.6276486999999995,2.9327473999999993,3.0964233000000005,3.092431,2.8697019000000004,3.1299172,2.8278576,3.1356328000000007,3.1919993000000004,3.0304035999999996,3.0647360000000003,3.2875383,3.3681759,3.2456295000000006,2.9914877,3.4149853,3.2279610000000005,3.4178020000000005,3.297284,3.2788156,3.84196
4		3.811658		10		5		2		0		0		5		5		0.6		1.0		0.05210537500000001,-0.018533899999999996,0.0694796,0.0205232,0.098136,0.08681760000000001,0.09175989999999999,0.24041769999999998,0.22495950000000003,0.1881972,0.44899469999999997,0.33963200000000004,0.39891499999999996,0.5745914000000001,0.4534936,0.5968743,0.42743450000000005,0.6788749,0.5695197000000001,0.7007475000000001,0.6542979,0.7145754,0.7626538,0.8926570999999999,0.7880027000000001,0.8366431000000001,1.0014239000000003,1.0939234,0.7156958,1.2024624,1.0785976000000002,1.2217407,0.9114414,0.9138113000000001,1.2862211999999997,1.2798208999999998,1.4219577,1.3056355,0.7355285,1.4397012999999999,1.2416492,1.4604948999999998,1.6339659000000002,1.7101495,1.4937899,0.8984976,2.0312744,1.2137746,1.4458161,1.4858273000000002,0.9755252000000001,1.9345005,1.9708403000000003,1.4729646,1.1812527999999998,2.3472402000000003,2.041108,1.3131489,2.4850714000000003,1.7350204999999999,1.4979080999999999,2.4252655,1.7955770000000002,1.3115999999999999,1.5720342000000003,1.7067481999999998,1.4687534,2.3429466000000003,2.1931985999999997,1.7052172999999997,1.6454578000000002,1.5202679,2.0398481,1.1375703,1.5520449,1.4649812,1.8773293,1.2422144,2.0797577,1.8059489000000006,2.2714177,1.5803493,1.9549927,2.3664592000000004,2.7023266,1.8069814000000002,2.8313663,2.8063762999999997,2.9839507000000003,2.8874254000000006,3.3944845,3.0038259999999997,3.061893,2.9001303,2.7806422000000004,2.9660146999999997,3.3182229999999997,2.3820126999999998,2.8771015,2.5355369,3.811658
11		3.724677		25		5		5		0		2		15		8		0.0		1.0		0.1352275,0.3199785,0.5130834,0.6788401999999999,0.6762724,0.9078253000000001,1.0760378000000002,0.9361843999999999,1.0538613,1.07162,1.1091773999999996,1.1076766,1.1169878999999998,1.1581825000000001,1.1641055,1.3257104,1.3294933000000002,1.3077849000000001,1.4283304,1.6357575999999998,1.6956076,1.6872123,1.9739587999999997,2.0058952,2.0509385,2.0661515,2.0412159,2.0972229,2.1378952,2.1366041000000005,2.1642059,2.1671411,2.1939528,2.1638245000000005,2.2030164,2.2145102,2.2532117,2.2325328,2.2816263,2.2534350000000005,2.2434646000000003,2.2332286000000003,2.3067017,2.2636838,2.1895561999999997,2.2928521999999996,2.3330749,2.3534885999999995,2.319258,2.3716218000000002,2.4205209000000005,2.3633541,2.2920195999999997,2.5351765,2.4136539000000004,2.5197328,2.5068003,2.6294542,2.6540281000000006,2.4713953999999996,2.7442647,2.7940844000000005,2.7315853,2.3169799000000006,2.8096612000000003,2.8121376000000002,2.8446853,2.8894311000000004,2.764468,3.0639532000000003,3.1454709,2.963572,2.860364,3.1582254999999995,2.9294373,3.1181338,3.1387329999999998,3.0837743,3.1394011999999996,3.0663422,3.1793536999999996,3.3761621999999996,3.2953313,3.0458335,3.2982889999999996,3.372471,3.2325380000000004,3.3285734,3.3816224,3.5310015,3.5769607,3.4041320999999996,3.6589739999999997,3.4549381999999995,3.7059134,3.5885529,3.7049916000000005,3.4899411999999996,3.4107081999999997,3.3934550999999997,3.724677
15		3.701087		25		5		5		0		2		15		8		0.0		1.0		0.02576775,0.3886699,0.37330650000000004,0.39969259999999995,0.5173234000000001,0.518938,0.7345784,0.7490067,0.7949531999999999,0.8411913,0.8411112000000001,0.9482217000000001,0.8508362,1.0385054,1.0131477999999998,0.9817603,1.0808408,1.0824888,1.158774,1.2325271,1.2531104000000002,1.2504009999999999,1.1362338,1.3030669000000001,1.2719568,1.2425143000000003,1.3819810000000001,1.3951839,1.4120209,1.4308965,1.5734061000000001,1.5981214000000001,1.6053661,1.6502279999999998,1.6382871,1.7466225999999998,1.7256152,1.7765885000000001,1.7467924,1.8715584999999997,1.8855583,1.8430869,1.9822277,1.9437324,1.9920178000000004,1.9920800999999997,2.0825724,2.0532706000000003,1.9998688000000002,2.1025364,2.1270224,2.0637830999999998,2.0125101,2.1154736,2.0941514999999997,2.1553554000000004,2.1432438,2.0911312,2.1729245,2.1527076000000003,2.1465234,2.1673909,2.1566103,2.1701834,2.1661697,2.1922164000000004,2.2024984000000005,2.1699038,2.1943726000000003,2.2215054999999997,2.2206044,2.2148604,2.1998451,2.1904623,2.2663212,2.2514598,2.276604,2.3067684,2.3577641999999996,2.3819041,2.3419577,2.5294289999999995,2.595263,2.8233831,2.8021578000000003,2.8752421999999997,2.7875658000000003,2.9026699000000002,3.1877967000000003,3.3127573,3.1704123,3.3949966000000003,3.4532966000000003,3.4985904,3.4800598999999997,3.5216114,3.5343807,3.3783206,3.3597436000000003,3.6468967999999995,3.701087
24		3.632774		17		4		5		0		0		17		0		0.19999999999999996		1.0		-0.1762225,-0.34233920000000007,-0.29525940000000006,-0.0312969,0.030738300000000003,0.0476248,0.0954131,0.060943800000000006,0.2961901,0.30311330000000003,0.21943879999999996,0.5789308,0.6204562000000001,0.8063865,0.9693601000000001,0.8316353000000001,0.9770932999999999,1.1057682,1.1874842,1.1630136000000002,1.1017483000000001,1.1832879,1.1246961,1.1502607,1.1452882,1.198586,1.2506126000000002,1.2533986000000001,1.2991153,1.3094455,1.2878243,1.3085733999999998,1.3270461,1.3946976999999998,1.4883893,1.6211334000000002,1.6175652,1.6698032,1.6011304,1.560506,1.7834577,1.9065338,1.9814514000000003,2.128355,2.0055371,2.0372193999999997,2.0101171000000004,2.1440056,2.1592648999999997,2.1547856,2.1693844999999996,2.1763729,2.1645239999999992,2.1691571000000005,2.1958672999999997,2.1832429000000007,2.1787949,2.1905634999999997,2.1854899000000003,2.19355,2.1981808000000003,2.1960802,2.2213067,2.2057118,2.1980282,2.2144578,2.2362652000000005,2.2581786,2.2371855000000003,2.2457563,2.2521386,2.2779596999999994,2.2482581,2.2627851000000003,2.2826429,2.2590308,2.2867528,2.3046666,2.3006304,2.291178,2.2933495,2.3024533000000003,2.31088,2.3181296,2.3452016999999996,2.3136588999999996,2.310778,2.341363,2.3299651,2.3224695,2.3269387000000004,2.5224938000000003,2.4676664000000006,2.5472877999999994,2.6619800999999996,2.7148529,2.4402814,2.3635549,2.4446535000000003,2.5699891000000004,3.632774
16		3.358224		19		5		4		0		0		15		4		0.19999999999999996		0.95		-0.17034,-0.1002006,-0.1125905,-0.0625648,-0.007220100000000002,0.028220699999999994,0.3044846,0.2494173,0.7451645,0.6686559999999999,0.8521819,0.9141785,0.9108082000000002,1.0157264,1.0287088,1.0437842,1.0570634,1.0768396,1.0999021,1.1221223999999999,1.1325481,1.1628032,1.1994161,1.1872572,1.2439050999999999,1.2066706,1.2536262,1.2431811,1.2643989999999998,1.2570877,1.2673848000000003,1.3453654,1.425998,1.3036742000000001,1.4404776,1.3737644,1.5407601000000002,1.7976176,1.7922936,1.7575341000000002,1.8379477000000002,1.8923105,1.9304994999999998,1.8737459,1.9978090000000002,2.0558232999999997,1.9856786999999998,2.0791589,2.0830528999999998,2.118588,2.0931840999999998,2.1250963,2.1515919,2.1921084,2.2043159,2.1986623,2.2321858,2.219418,2.2036646,2.2375634,2.2388626,2.2493223,2.2661604000000004,2.2696607,2.2577454999999995,2.2364211000000003,2.2173945,2.2330978000000004,2.23717,2.2463545999999996,2.2495274000000003,2.2490399,2.252149,2.251621,2.2668729999999995,2.2517462000000004,2.274044,2.2560550999999998,2.2748275,2.3023802,2.3012102999999997,2.2527029,2.2786015,2.2727682,2.2676220999999996,2.2569463,2.2396464000000003,2.2626369000000004,2.3042568,2.2892905,2.3048913000000004,2.2779636,2.2597848,2.2709957,2.2263683999999997,2.2458915999999998,2.2365251,2.212428,2.2164934,2.2722045,3.358224
