label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
15		6.284721		5		1		5		0		0		2		3		0.8		1.0		-0.2061744,0.29412222222222223,0.2971224,0.9786503,1.5293888,1.7892792,2.1329152999999996,2.3461044000000006,2.5574794,2.609998,2.6567920999999997,2.8845611,3.0979882,2.7975001,3.1543062999999996,3.2742382999999995,1.9876694000000001,1.5974071999999997,1.7312197000000005,1.831528,2.4650204000000002,2.1764817,2.3799267,2.1068492,1.9765434000000006,2.5777013999999996,2.6638636,3.1158577999999997,3.0242603,3.2808639,2.7426596,2.9353471,3.2015001999999995,3.1934877,3.2608334,2.6357249000000005,3.3867532,3.9780900000000003,3.2453895000000004,3.0097666,3.7072407999999997,3.4496986,3.2799362000000003,3.3246523000000003,2.9844376000000006,3.9867267000000006,4.2456585,4.363866499999999,4.4555641999999995,4.5378979,4.426733,4.0752219,4.0295088,3.5230533,3.3884143,3.5851014,3.7202646,4.1068631,3.4529345,2.0954544,3.5567105,3.9295714999999993,4.0041442,3.4949869999999996,4.478917900000001,4.489718699999999,3.4799081000000003,3.4779645,3.0183438000000007,3.3883955,4.926867800000001,3.4707849000000004,3.0544900999999998,2.4871379,3.1452332,3.8604600000000007,4.5885662,3.7017447999999993,1.7843350999999998,2.5986909999999996,4.2045325,3.652091300000001,4.794918099999999,4.665477,5.0421679,4.466987099999999,4.785497899999999,4.611184199999999,4.8951402999999996,5.3461003,4.1016642,2.9209045999999996,3.8561950000000005,4.635271,2.5635491,2.4242374,5.1747208,4.1286507,4.1825265,5.1278671000000005,6.284721
6		4.317222		7		2		5		0		0		1		6		0.6		1.0		-0.10576174999999999,0.19690924999999998,0.4548932,1.6027521,1.9243362999999998,2.1643417,1.9234944999999999,1.9623066000000002,2.0557339999999997,2.3124649000000006,2.6865306999999996,2.7436543,2.872751,2.8627686,2.9426373000000003,3.1686170000000002,2.9304622,3.2188735,3.5702185,3.6808907,3.2693024,3.4150560999999997,3.8420963,3.8902041999999994,3.8469721999999997,3.8532787000000006,3.8731725000000004,3.8772743,3.6530305,3.6239337,3.7957355,3.7967043000000005,3.8316109,3.9222107,3.9693509,3.9824968,3.9775380999999994,3.9733874,3.9638292999999996,3.9607411,3.9495743000000005,3.9569355,3.9604468999999995,3.9598926,3.9574738,3.968191,3.9620155000000006,3.9666901999999995,3.9744075000000003,3.834621,3.8330596999999997,3.968412099999999,3.9735641999999998,3.9763235000000003,3.9766182,3.9794016,3.9769497,3.9687851000000003,3.9680769,3.9688097,3.9689943,3.9725349999999997,3.9714505000000004,3.9773413,3.9801453,3.8697977999999997,3.8685990999999995,3.9682738,3.970357000000001,3.9734232,3.9777347999999995,3.9810125999999997,3.9817343000000003,3.97673,3.9774803000000007,3.9752798,3.9812289,3.9826931,3.9848983999999996,3.9857613,3.9806891,3.9769831999999994,3.9835876999999997,3.982382,3.9820602999999997,3.9792490000000003,3.9759636,3.977631400000001,4.0108961999999995,4.007215699999999,3.9804471999999995,3.9779042,3.9765338,3.9782072,3.9774675999999998,3.9787136999999992,4.007389299999999,4.0280629,3.9965961,4.0070649000000005,4.317222
4		4.050838		9		2		5		0		0		6		3		0.6		1.0		-1.7733884,-1.4415876666666667,-1.105436,-0.9493666999999999,-1.0539542,-0.5606561,0.07105660000000001,0.6135442,1.2574922,1.3583604,1.4258199999999999,1.5858494999999997,1.7915261999999998,1.9488545000000002,2.0716481,2.2308156,2.3486063000000006,2.4374809,2.5168731,2.6626028,3.3808661,3.6841823000000007,3.9059235,3.9220933000000002,3.8802564000000004,3.8752679,3.8826869999999998,3.8763238,3.9049115999999997,3.8918912999999997,3.8765957999999996,3.9069459,3.9480487,3.9353834,3.9415780999999996,3.9378636,3.9184647,3.9097987000000005,3.9263999,3.9252866999999996,3.9400439999999994,3.9457419000000002,3.929386,3.9373087,3.9496032999999997,3.9576601000000005,3.9530275,3.9433721999999998,3.9365473,3.9079825,3.8926278999999995,3.9395168999999997,3.9633572999999997,3.9063540000000003,3.9030579000000003,3.8990921999999997,3.910367,3.9326573,3.9431958000000003,3.9491274000000005,3.9625804000000002,3.9587832,3.8902431999999996,3.8898544999999998,3.9356754,3.9444378999999996,3.9617931,3.9200220000000003,3.9357836999999996,3.9764469999999994,3.9600477999999995,3.956074,3.9304055999999994,3.9363878999999997,3.9465909000000003,3.9261491,3.9352066999999997,3.9286003999999997,3.9264109000000005,3.9447854999999996,3.9188585000000002,3.9339486,3.9320794999999995,3.9430473,3.9633368999999994,3.9291676000000004,3.9380958,3.9595581,3.9478943,3.9610578000000003,3.9881330000000004,3.9791858000000007,3.9731873,3.9762606,3.9776099,3.9934018,3.9911265,3.9537399,3.9072837000000007,3.9518946,4.050838
8		4.032078		5		1		5		0		0		0		5		0.8		1.0		-0.0345975,0.021766749999999994,-0.049382199999999994,0.4779374999999999,0.6864465,0.7457818,0.5045183,0.403431,0.9158987,1.0581144,1.3498857,1.3853526000000003,1.2207363,1.3346671,1.1014994,0.023738200000000022,0.5486967,1.3025988,1.3360121999999999,1.3924732999999998,0.9808603,1.5324696,1.3833524,1.8583456999999999,1.5765170000000002,1.1086063,1.6524431,2.1985914,1.7475847000000002,0.5140775,-0.877046,0.7250689,1.8293699999999997,0.29621210000000003,0.8633313999999999,1.4293236999999999,0.9390747000000002,0.4046659,2.2283315000000004,1.7969846,1.2110617,1.7352356999999998,1.2325290999999998,2.7670234000000002,2.1535165,1.9462346000000004,2.1674138,2.5778164,1.1532320999999999,1.8708102,2.3925943999999997,2.093365,2.225455,1.9986010999999997,2.1598832999999997,2.4680949,3.5122997999999996,2.9950838,2.9437899,2.2904723999999996,2.2667747,3.0725065999999996,3.0389269,2.8275282000000006,2.4653458,2.4434981999999996,1.0579958999999999,1.2399902999999999,2.2530401,2.9160148,2.8319569,2.7178665,3.0207588999999997,2.3109857,1.8124325,1.8283026,2.6647301000000003,2.8994693,2.0661050999999997,2.2507973,2.8441382,1.7974501999999997,2.2697956,3.2786194,1.4462243,1.7161271999999996,2.4165078,2.4575082999999998,2.0196095,2.1522578999999995,2.5420930999999998,2.98164,2.9558286999999996,2.299032,2.1067542,2.7626058,3.4970915,2.5447336,2.3891093999999997,2.7025517,4.032078
11		3.990338		9		2		5		0		0		4		5		0.6		1.0		-2.1536646,-1.1470436,-1.5421295000000002,-1.393923,-1.0355332,-0.6254022,0.28312950000000003,0.9023165000000001,1.2090760999999999,1.270852,1.3411542,1.4357071,1.6947411,1.9466426,2.0169995999999997,2.1139134,2.2209121000000005,2.2399107000000003,2.2736706,2.3523832000000002,2.4123957999999996,2.5220832,2.6349106,2.8272528,2.9857601,3.3965974,3.7038884000000003,3.8364957999999993,3.8540035,3.8553629000000003,3.9153013000000003,3.9457991,3.9455128999999998,3.9614317,3.9643986,3.9367113,3.9268353000000005,3.9359098,3.9428237000000004,3.9508702999999996,3.9452703,3.9482776,3.9722339999999994,3.9466933999999996,3.9260599,3.9431379,3.9479712,3.9417,3.9305208,3.929519,3.9313411,3.9414061000000005,3.9549052,3.9600333,3.9450805000000004,3.9322715,3.9536662999999996,3.9546431000000006,3.9301844000000004,3.931935,3.9285408000000004,3.9278956999999997,3.9374124000000004,3.9496668,3.9641294,3.9509087999999997,3.9436155999999998,3.9449535999999994,3.9435238000000004,3.9560046,3.9671474000000004,3.9665643000000004,3.9587522999999996,3.9651488,3.9779321000000003,3.9691145,3.9634047000000003,3.9639037999999998,3.9549533000000006,3.9618467,3.9817447,3.9868487000000004,3.9773780000000003,3.9744876,3.9863504,3.9859805,3.9780986,3.9714655999999997,3.971060499999999,3.9796146000000006,3.981503,3.9768984000000005,3.9752251000000003,3.9801352000000003,3.9849679,3.9829201,3.984032,3.9857873000000006,3.9765963999999996,3.9706598,3.990338
14		3.957133		6		2		5		0		0		2		4		0.6		1.0		-4.09854275,-3.9005536249999997,-3.6492351000000007,-2.5429368,-2.0754837999999998,-1.832042,-1.1211914000000003,-0.7799523,-0.7039316,-0.6619090999999999,-0.6249982999999999,-0.6015396,-0.582187,-0.42852490000000004,-0.28438709999999995,-0.10566900000000001,-0.08594510000000001,0.0327936,0.13362440000000003,0.2906218,1.0670001,1.2269741,1.2528988,1.2936898,1.3489364,1.3942903999999998,1.4168919,1.424428,1.4509944,1.4720917,1.5027528,1.5585211,1.5949244,1.5723952,1.6021007,1.6857425,1.6966784000000001,1.7084397,1.6943747999999998,1.6953944,1.7027055,1.7357095999999999,1.7976237000000002,1.8279573,1.8392074,1.8361843999999998,1.8418113000000003,1.8731107000000002,1.8995935,2.0230697,2.0566817,2.0504279,2.0023747999999997,2.0351623,2.0450466,2.0615932,2.0777963,2.0867717000000003,2.1073275,2.1457112999999994,2.1877376,2.2093876000000003,2.2241790999999997,2.2273822,2.2211407000000003,2.2307961,2.2335481,2.264448,2.2675174,2.2833774,2.2960788,2.3128546,2.3333315,2.3465571,2.3392527999999997,2.3493273,2.3794545,2.4073306,2.4423863000000003,2.4828216000000003,2.4821717999999997,2.4178021999999997,2.4210292000000004,2.4272351999999997,2.4619601999999996,2.5276159,2.544311,2.5018226999999995,2.6166102,2.6248736,2.6253647,2.5978449999999995,2.6118635,2.6085393,2.6041678999999993,2.6081887000000004,2.6598644,2.6625314,2.6688731000000003,2.7121781,3.957133
21		3.945192		3		2		2		0		0		3		0		0.29289321881345265		1.0		1.9741122500000001,1.364656,1.5448723000000002,2.2782614000000003,1.8983231999999997,1.8652054999999996,2.5170641,2.5597258,2.5265836,2.6274962000000004,2.5811318,1.8222103,1.9124009000000002,2.974336,2.9561456,3.0053530999999998,3.0873894,3.4345153999999996,3.1459174,2.9589397,3.2867992,2.9483408999999994,2.8885549,2.5306773,3.5130494,3.5536502,3.5444647000000002,3.6651239,3.9152887,3.246129500000001,3.1988174000000003,3.3658411,2.4524432,2.6861695000000005,3.3982678,3.8425515000000003,3.8767662,3.9300801,3.9097074,3.9224616999999995,3.8986147000000004,3.9026668,3.8514238999999995,3.6716622,3.7494190000000005,3.8649738000000005,3.8641766999999994,3.9179166000000003,3.9318809999999997,3.715922,3.7197412,3.9122708999999993,3.9212626999999998,3.8831271999999997,3.8906428000000006,3.9327177000000004,3.917777,3.9095807000000002,3.9120422999999995,3.9193086,3.9364733999999997,3.9191127000000003,3.9085579000000004,3.9247430999999997,3.9299868000000004,3.9310452,3.922322,3.9204905000000005,3.9249278999999992,3.9243040000000002,3.9278036999999997,3.9276221999999996,3.9320496999999994,3.9310932999999997,3.9411396000000005,3.9397024000000003,3.9425399,3.9402240999999996,3.9209693000000003,3.9254556999999997,3.9313405,3.9325469999999996,3.9323326,3.9274892,3.9188493,3.9299294000000002,3.9389797,3.9391195000000003,3.9315661000000004,3.9280275000000002,3.9244710000000005,3.9252698,3.9363312,3.9330253999999996,3.9306553,3.9341178000000006,3.930133,3.9328397,3.9358058,3.9385192000000004,3.945192
0		2.186766		8		5		3		0		3		1		4		0.4		0.8888888888888888		-0.1456015,-0.142003375,-0.1223524,-0.18769779999999997,-0.14642909999999998,-0.07366349999999999,0.13334119999999997,0.27799589999999996,0.37079120000000004,0.436644,0.9487095,1.1633331999999998,1.1275152,1.3801327,1.4301863,1.715174,1.9699779999999998,1.8800562999999997,2.1218587999999996,2.1225297000000003,2.0667641999999997,2.0630163,2.1096846,2.0431086000000005,2.0538066,1.8038667,1.7891762999999998,1.7455980999999998,1.7607837,1.7361208000000001,1.419501,1.4253112000000003,2.1208885,2.1230309999999997,1.6935166,1.692971,1.0403571,1.0184887999999999,1.1886848999999997,0.6846745999999999,1.3969106,1.4218496,1.0923564000000001,1.2029993,1.0490292,1.3532423,2.1251911,1.1992737000000002,1.6251525,1.1622275,1.6691122,1.6196823000000002,2.1320158000000005,2.131742,1.6223413000000004,1.3104340999999997,1.4610209,-0.11774829999999996,1.2738137,1.6992990000000003,1.7994773,1.4112300000000002,0.8796234999999999,1.2743284999999998,1.8162773,1.0588944999999998,0.9908349999999999,1.7564546,1.8455953000000005,0.7198931999999999,-0.12222330000000003,0.4428851,0.0030308000000000444,0.1549631,0.7767345000000001,1.4022161999999998,1.4436636999999997,1.1053197,1.8157001999999998,2.1678345,0.9863436000000002,0.49201280000000003,0.3428868,1.11132,2.1099043,1.7247945999999998,1.0517949999999998,1.4619332,1.8517706,1.5565023,1.5646012,1.8682432999999996,1.5313401,2.1492437000000004,1.1658833000000002,1.2445781,0.9597915,0.8256323000000002,1.7479869000000001,1.8701067000000002,2.186766
23		2.130271		11		5		3		0		2		0		9		0.4		1.0		1.5270427500000001,1.491129625,1.6080966,1.8197944,1.7357307,1.7694914000000002,0.07392779999999996,1.0595501,2.0566607,2.0548073,2.0643975,1.6018703000000003,1.6092213999999998,2.0768592000000003,2.0811858,2.0880374999999995,2.0835046999999998,2.0942458999999998,2.0950952000000003,2.0881808,2.0908114999999996,2.0982906000000003,2.0949846,2.0981159000000007,2.1055389,2.1053403,2.1067573,2.1067139000000004,2.1079903,2.109594,2.1083339000000003,2.1047811999999997,2.1058582,2.1064182,2.1084872999999997,2.1097585000000003,2.1114737000000003,2.1107862,2.1090457000000002,2.1139779999999995,2.1097065,2.1097774,2.1163869,2.1177592,2.1184862,2.1126641999999998,2.1113001999999996,2.113505,2.1162086,2.1152397,2.1128456,2.1108127000000003,2.1121736999999996,2.1179707000000003,2.117493799999999,2.1199,2.1168229,2.1178443,2.1151238,2.1146406,2.1199285,2.1196025,2.1195437000000004,2.1196633,2.1177109,2.1200146,2.121131,2.1241855,2.1237250999999997,2.12136,2.1193082,2.1149734,2.1147662,2.1160122000000006,2.1206778,2.1245382,2.1281339000000004,2.1283317999999998,2.1246919,2.1235374000000005,2.1222785,2.1217926999999994,2.1205178,2.1183997000000003,2.1195635,2.1240627,2.1221055,2.1198062,2.1203122,2.1251413,2.1251879000000002,2.1216757,2.1246515,2.1270767,2.1235574,2.1232840000000004,2.1258401000000005,2.1259615999999997,2.124784,2.1281994,2.130271
20		2.022095		11		5		3		0		0		9		2		0.4		1.0		-0.6737305,-1.0884516,-0.9743689,-0.5722548000000001,-0.6130156,-0.3075944,-0.2120593,-0.2129954,-0.1637345,-0.07976660000000001,0.004282199999999999,0.0343483,0.11676210000000001,0.17986600000000003,0.22955969999999998,0.3111463,0.3789523,0.42301279999999997,0.6052375999999999,0.8441938999999999,1.0738505999999999,1.2420974,1.2776751,1.3227923000000001,1.3784691,1.4205529,1.4375575,1.478078,1.5865404,1.6629059000000002,1.7285827999999999,1.7856394999999998,1.8039342,1.8281718999999998,1.8325619999999998,1.8454379000000003,1.8704328999999997,1.9020156,1.9138598999999998,1.9079237,1.9109830000000003,1.9075637999999997,1.9087655000000001,1.920148,1.9170596,1.9227887,1.9328463000000002,1.9348735000000001,1.9389015,1.9412797999999998,1.9437072999999998,1.9402399,1.9432122,1.9523179,1.9568770999999998,1.9581682,1.9557323999999998,1.9589382,1.9641438,1.9649647,1.9638559999999998,1.9655288,1.9666636,1.9682641999999997,1.9659122,1.9664705999999998,1.9653393000000001,1.9696091000000002,1.9704027,1.9721920999999998,1.9775651,1.9778852,1.9776428,1.9806807,1.986768,1.9916175000000003,1.9908279999999998,1.9878050000000003,1.9873511000000001,1.9880220000000002,1.9921044,1.9934841000000003,1.9955545999999997,1.9937396,1.9930483000000003,1.9922902999999998,1.991767,1.9960183,1.9996372,1.9987707000000001,1.9973053,1.9982039999999999,1.9984769,1.9988437000000001,2.001893,2.0025964000000003,2.0006889000000005,2.0015631,2.0005870999999997,2.0027174000000003,2.022095
